"""Institution""",State,HD2022.Level of institution,HD2022.Control of institution,SFA2122.Percent of full-time first-time undergraduates awarded any financial aid,"SFA2122.Average net price (income 0-30,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income 30,001-48,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income 48,001-75,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income 75,001-110,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income over 110,000)-students awarded Title IV federal financial aid, 2021-22",DRVIC2022.Total price for in-state students living on campus 2022-23,DRVIC2022.Total price for out-of-state students living on campus 2022-23,DRVADM2022.Percent admitted - total,SAT Composite 25th percentile score,SAT Composite 50th percentile score,SAT Composite 75th Percentile Score,ADM2022.ACT Composite 25th percentile score,ADM2022.ACT Composite 50th percentile score,ADM2022.ACT Composite 75th percentile score,national.html,artsandhumanities.html,businessandeconomics.html,clinicalandhealth.html,computerscience.html,education.html,engineering.html,law.html,lifesciences.html,physicalsciences.html,psychology.html,socialsciences.html,
"""Hood Theological Seminary""",North Carolina,Four or more years,Private not-for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""International Technological University""",California,Four or more years,Private not-for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Irene's Myomassology Institute""",Michigan,Less than 2 years (below associate),Private for-profit,85,29351,30347,30702,30870,31568,,,,0,0,0,,,,,,,,,,,,,,,,
"""Jay's Technical Institute""",Texas,Less than 2 years (below associate),Private for-profit,69,11034,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""NTMA Training Centers of Southern California""",California,Less than 2 years (below associate),Private not-for-profit,95,22739,20319,23576,21851,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""P C Age-Jersey City""",New Jersey,Less than 2 years (below associate),Private for-profit,51,19863,19561,18963,22741,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""PC AGE-Metropark""",New Jersey,Less than 2 years (below associate),Private for-profit,62,15674,18335,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Hollywood Institute""",Florida,Less than 2 years (below associate),Private for-profit,72,13513,13050,15390,17855,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""South Florida Institute of Technology""",Florida,Less than 2 years (below associate),Private for-profit,99,28027,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Southeastern College-Charleston""",South Carolina,At least 2 but less than 4 years,Private for-profit,98,33109,34720,37656,38479,38479,,,95,0,0,0,,,,,,,,,,,,,,,,
"""Tigi Hairdressing Academy-Colorado Springs""",Colorado,Less than 2 years (below associate),Private for-profit,65,19627,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Trend Barber College""",Texas,Less than 2 years (below associate),Private for-profit,92,16235,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Valley Grande Institute for Academic Studies""",Texas,Less than 2 years (below associate),Private not-for-profit,100,11923,12218,11038,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""West Coast University-Los Angeles""",California,Four or more years,Private for-profit,86,44623,0,49973,47073,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Williamson Christian College""",Tennessee,Four or more years,Private not-for-profit,100,21201,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Illinois Eastern Community College-System Office""",Illinois,At least 2 but less than 4 years,Public,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Triangle Tech Inc-Sunbury""",Pennsylvania,At least 2 but less than 4 years,Private for-profit,100,17720,27469,20630,21829,27469,,,,0,0,0,,,,,,,,,,,,,,,,
"""DigiPen Institute of Technology""",Washington,Four or more years,Private for-profit,67,32802,34442,40241,45090,46508,54444,54444,66,1170,1295,1403,26,28,31,,,,,,,,,,,,,
"""Pierpont Community and Technical College""",West Virginia,At least 2 but less than 4 years,Public,92,7010,8252,11136,11925,12250,,,,0,0,0,,,,,,,,,,,,,,,,
"""InterCoast Colleges-West Covina""",California,At least 2 but less than 4 years,Private for-profit,82,24147,24040,25654,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""American College of Healthcare Sciences""",Oregon,Four or more years,Private for-profit,40,24605,0,0,0,0,,,92,0,0,0,,,,,,,,,,,,,,,,
"""Colorado Media School""",Colorado,Less than 2 years (below associate),Private for-profit,91,30040,29701,32178,33873,34655,,,,0,0,0,,,,,,,,,,,,,,,,
"""Paul Mitchell the School-Rhode Island""",Rhode Island,Less than 2 years (below associate),Private for-profit,93,25270,25513,30313,30635,31758,,,,0,0,0,,,,,,,,,,,,,,,,
"""Miller-Motte College-Chattanooga""",Tennessee,Four or more years,Private for-profit,82,25877,26319,26763,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Milan Institute-Sparks""",Nevada,Less than 2 years (below associate),Private for-profit,84,30711,32634,29767,0,35612,,,,0,0,0,,,,,,,,,,,,,,,,
"""Interactive College of Technology""",Texas,At least 2 but less than 4 years,Private for-profit,86,11442,14084,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Bexley Hall Seabury Western Theological Seminary Federation, Inc.""",Illinois,Four or more years,Private not-for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""University of North Texas System""",Texas,Four or more years,Public,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Altierus Career College-Norcross""",Georgia,At least 2 but less than 4 years,Private not-for-profit,99,21586,21697,22018,23808,26988,,,,0,0,0,,,,,,,,,,,,,,,,
"""Strayer University-Tennessee""",Tennessee,Four or more years,Private for-profit,100,19114,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Strayer University-Pennsylvania""",Pennsylvania,Four or more years,Private for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""PCI Academy-Plymouth""",Minnesota,Less than 2 years (below associate),Private for-profit,100,13125,13125,0,19620,19620,,,,0,0,0,,,,,,,,,,,,,,,,
"""Creative Images Institute of Cosmetology-South Dayton""",Ohio,At least 2 but less than 4 years,Private for-profit,67,11901,12180,14640,15251,16188,,,,0,0,0,,,,,,,,,,,,,,,,
"""Brookline College-Albuquerque""",New Mexico,Four or more years,Private for-profit,70,41802,39952,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Byzantine Catholic Seminary of Saints Cyril and Methodius""",Pennsylvania,Four or more years,Private not-for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Northcentral University""",California,Four or more years,Private not-for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Folsom Lake College""",California,At least 2 but less than 4 years,Public,86,4717,4989,7636,9460,10559,,,,0,0,0,,,,,,,,,,,,,,,,
"""LeGrand Institute of Cosmetology Inc""",South Carolina,Less than 2 years (below associate),Private for-profit,100,8736,9046,11146,15391,15391,,,,0,0,0,,,,,,,,,,,,,,,,
"""Hussian College-Daymar College Murfreesboro""",Tennessee,Four or more years,Private for-profit,96,28822,27468,0,31849,29844,,,78,0,0,0,,,,,,,,,,,,,,,,
"""Empire Beauty School-Midlothian""",Virginia,Less than 2 years (below associate),Private for-profit,75,14701,15916,17434,19638,19638,,,,0,0,0,,,,,,,,,,,,,,,,
"""Empire Beauty School-Owings Mills""",Maryland,Less than 2 years (below associate),Private for-profit,96,14599,13571,18326,18218,19666,,,,0,0,0,,,,,,,,,,,,,,,,
"""Empire Beauty School-West Mifflin""",Pennsylvania,Less than 2 years (below associate),Private for-profit,85,16397,16258,18900,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""ATI College-Whittier""",California,Four or more years,Private for-profit,93,17441,18278,0,23713,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Advance Science International College""",Florida,At least 2 but less than 4 years,Private for-profit,39,27581,33761,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""ATA College""",California,At least 2 but less than 4 years,Private for-profit,87,19303,19373,21955,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""American Advanced Technicians Institute""",Florida,Less than 2 years (below associate),Private for-profit,85,23825,27507,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Baptist University of the Americas""",Texas,Four or more years,Private not-for-profit,100,6188,0,0,8099,10583,16138,16138,,0,0,0,,,,,,,,,,,,,,,,
"""The Beauty Institute""",Florida,Less than 2 years (below associate),Private for-profit,100,16269,17517,18564,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Beis Medrash Heichal Dovid""",New York,Four or more years,Private not-for-profit,98,5054,8175,8707,5850,0,20500,20500,58,0,0,0,,,,,,,,,,,,,,,,
"""Blue Cliff Career College""",Alabama,Less than 2 years (below associate),Private for-profit,100,13705,18838,19517,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Career Beauty College""",Tennessee,Less than 2 years (below associate),Private for-profit,95,9921,0,8342,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Paul Mitchell the School-Gastonia""",North Carolina,Less than 2 years (below associate),Private for-profit,83,18485,16625,19872,23120,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""CES College""",California,Less than 2 years (below associate),Private not-for-profit,100,23402,22984,0,26802,0,,,63,0,0,0,,,,,,,,,,,,,,,,
"""Stellar Career College""",California,Less than 2 years (below associate),Private for-profit,72,13282,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Auguste Escoffier School of Culinary Arts-Austin""",Texas,At least 2 but less than 4 years,Private for-profit,76,14340,15629,16303,17983,18348,,,,0,0,0,,,,,,,,,,,,,,,,
"""Culinary Institute Inc""",Texas,At least 2 but less than 4 years,Private for-profit,100,31817,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Orion Institute""",Ohio,Less than 2 years (below associate),Private for-profit,95,24274,25036,28695,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Moore Career College""",Louisiana,Less than 2 years (below associate),Private for-profit,100,17780,15771,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Institute of Clinical Acupuncture & Oriental Med""",Hawaii,Four or more years,Private for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Gwinnett College-Marietta Campus""",Georgia,At least 2 but less than 4 years,Private for-profit,82,25919,26636,30667,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Charlotte Christian College and Theological Seminary""",North Carolina,Four or more years,Private not-for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Nightingale College""",Utah,Four or more years,Private for-profit,89,27463,27585,28887,31354,32034,,,,0,0,0,,,,,,,,,,,,,,,,
"""Omnitech Institute""",Georgia,Less than 2 years (below associate),Private for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""PITC Institute""",Pennsylvania,At least 2 but less than 4 years,Private for-profit,91,20088,22632,24175,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Skinworks School of Advanced Skincare""",Utah,Less than 2 years (below associate),Private for-profit,75,19720,0,24272,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Southeastern College-Columbia""",South Carolina,At least 2 but less than 4 years,Private for-profit,95,33591,33946,36378,39232,0,,,97,0,0,0,,,,,,,,,,,,,,,,
"""Technical Learning Centers Inc""",District of Columbia,Less than 2 years (below associate),Private for-profit,100,24714,28610,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Turning Point Beauty College""",Arizona,Less than 2 years (below associate),Private for-profit,91,13464,12981,16156,18086,17586,,,,0,0,0,,,,,,,,,,,,,,,,
"""Unitech Training Academy-Lafayette""",Louisiana,Less than 2 years (below associate),Private for-profit,79,24848,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Mountwest Community and Technical College""",West Virginia,At least 2 but less than 4 years,Public,97,7472,5556,10243,8671,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""American InterContinental University""",Arizona,Four or more years,Private for-profit,81,13849,14592,16234,17146,17548,,,,0,0,0,,,,,,,,,,,,,,,,
"""Toyota Technological Institute at Chicago""",Illinois,Four or more years,Private not-for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""American InterContinental University-Houston""",Texas,Four or more years,Private for-profit,90,16383,17756,14306,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""University of California-Merced""",California,Four or more years,Public,86,9244,10126,13347,20035,32273,38907,68979,89,0,0,0,,,,87,,,,,,98,,66,95,8581,,
"""Remington College-North Houston Campus""",Texas,Four or more years,Private not-for-profit,100,23706,23544,28202,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Paul Mitchell the School-Orlando""",Florida,Less than 2 years (below associate),Private for-profit,86,19155,21206,21510,24351,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Pima Medical Institute-Las Vegas""",Nevada,At least 2 but less than 4 years,Private for-profit,92,21937,22918,24474,25441,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Remington College-Nashville Campus""",Tennessee,At least 2 but less than 4 years,Private not-for-profit,84,25500,26823,29063,0,30786,,,,0,0,0,,,,,,,,,,,,,,,,
"""Central Methodist University-College of Graduate and Extended Studies""",Missouri,Four or more years,Private not-for-profit,,0,0,0,0,0,,,100,0,0,0,,,,,,,,,,,,,,,,
"""North-West College-Riverside""",California,At least 2 but less than 4 years,Private for-profit,94,26880,27105,28128,29688,30376,,,,0,0,0,,,,,,,,,,,,,,,,
"""Altierus Career College-Bissonnet""",Texas,At least 2 but less than 4 years,Private not-for-profit,100,22485,21948,23925,24556,25849,,,,0,0,0,,,,,,,,,,,,,,,,
"""Arthur's Beauty College""",Arkansas,Less than 2 years (below associate),Private for-profit,87,13652,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Spa Tech Institute-Westboro""",Massachusetts,Less than 2 years (below associate),Private for-profit,96,19610,19801,21159,23074,23074,,,,0,0,0,,,,,,,,,,,,,,,,
"""Spa Tech Institute-Plymouth""",Massachusetts,Less than 2 years (below associate),Private for-profit,91,20838,22635,22074,24239,24239,,,,0,0,0,,,,,,,,,,,,,,,,
"""Neumont College of Computer Science""",Utah,Four or more years,Private for-profit,99,25202,24180,26735,29697,31252,40225,40225,88,1000,1120,1249,19,22,25,,,,,,,,,,,,,
"""Johnson & Wales University-Charlotte""",North Carolina,Four or more years,Private not-for-profit,100,25907,26780,28654,30323,33851,56776,56776,73,890,1025,1122,16,19,22,,,,,,,,,,,,,
"""Roseman University of Health Sciences""",Nevada,Four or more years,Private not-for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Fortis Institute-Port Saint Lucie""",Florida,At least 2 but less than 4 years,Private for-profit,98,20260,18802,22788,25744,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Aviation Institute of Maintenance-Manassas""",Virginia,At least 2 but less than 4 years,Private for-profit,82,21569,18557,21668,0,26264,,,,0,0,0,,,,,,,,,,,,,,,,
"""Cosmetology School of Arts & Sciences""",Idaho,Less than 2 years (below associate),Private for-profit,78,18314,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Universal Technical Institute of Pennsylvania Inc""",Pennsylvania,At least 2 but less than 4 years,Private for-profit,96,16769,17400,20840,23292,26659,,,,0,0,0,,,,,,,,,,,,,,,,
"""Kenneth Shuler School of Cosmetology-Spartanburg""",South Carolina,Less than 2 years (below associate),Private for-profit,87,13238,13488,15139,16454,15355,,,,0,0,0,,,,,,,,,,,,,,,,
"""Kenneth Shuler School of Cosmetology-Columbia""",South Carolina,Less than 2 years (below associate),Private for-profit,96,14119,14254,17337,15555,17337,,,,0,0,0,,,,,,,,,,,,,,,,
"""Divine Mercy University""",Virginia,Four or more years,Private not-for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Lincoln Technical Institute-Shelton""",Connecticut,At least 2 but less than 4 years,Private for-profit,92,35274,35984,35478,38051,38313,,,,0,0,0,,,,,,,,,,,,,,,,
"""Northwest Career College""",Nevada,At least 2 but less than 4 years,Private for-profit,94,12525,13829,14834,16218,17904,,,,0,0,0,,,,,,,,,,,,,,,,
"""Soma Institute-The National School of Clinical Massage Therapy""",Illinois,Less than 2 years (below associate),Private for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""American Academy of Health and Wellness""",Minnesota,Four or more years,Private for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Arizona School of Acupuncture and Oriental Medicine""",Arizona,Four or more years,Private for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Ave Maria University""",Florida,Four or more years,Private not-for-profit,100,17788,17531,18932,22449,23327,43921,43921,44,0,0,0,,,,,,,,,,,,,,,,
"""CALC Institute of Technology""",Illinois,Less than 2 years (below associate),Private for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Sutter County Career Training Center""",California,Less than 2 years (below associate),Private for-profit,61,19682,26172,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Cambridge College of Healthcare & Technology""",Florida,At least 2 but less than 4 years,Private for-profit,84,19565,19675,19838,22569,21840,,,,0,0,0,,,,,,,,,,,,,,,,
"""Career Care Institute""",California,At least 2 but less than 4 years,Private for-profit,92,42937,40812,41227,44238,44606,,,,0,0,0,,,,,,,,,,,,,,,,
"""ATA Career Education""",Florida,At least 2 but less than 4 years,Private for-profit,98,26596,27118,26604,30399,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Community Christian College""",California,At least 2 but less than 4 years,Private not-for-profit,100,19262,0,0,21265,26010,,,,0,0,0,,,,,,,,,,,,,,,,
"""Culpeper Cosmetology Training Center""",Virginia,Less than 2 years (below associate),Public,83,10585,10554,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Eastern School of Acupuncture and Traditional Medicine""",New Jersey,Four or more years,Private for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Ecclesia College""",Arkansas,Four or more years,Private not-for-profit,100,19298,18099,21044,23044,22895,32630,32630,55,0,0,0,,,,,,,,,,,,,,,,
"""Employment Solutions-College for Technical Education""",Kentucky,Less than 2 years (below associate),Private not-for-profit,90,12186,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Estelle Medical Academy""",Illinois,Less than 2 years (below associate),Private for-profit,74,10440,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Evergreen Beauty and Barber College-Everett""",Washington,Less than 2 years (below associate),Private for-profit,61,15585,19241,16411,19241,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Paul Mitchell the School-Great Lakes""",Michigan,Less than 2 years (below associate),Private for-profit,86,12361,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Healthcare Training Institute""",New Jersey,At least 2 but less than 4 years,Private for-profit,100,8624,0,0,0,0,,,100,0,0,0,,,,,,,,,,,,,,,,
"""John D Rockefeller IV Career Center""",West Virginia,Less than 2 years (below associate),Public,100,13573,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Los Angeles College of Music""",California,Four or more years,Private for-profit,84,31702,37582,37947,43655,41249,48474,48474,83,0,0,0,,,,,,,,,,,,,,,,
"""Maple Springs Baptist Bible College and Seminary""",Maryland,Four or more years,Private not-for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Precision Manufacturing Institute""",Pennsylvania,Less than 2 years (below associate),Private not-for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""SAE Institute of Technology-Nashville""",Tennessee,Four or more years,Private for-profit,87,20952,21047,21025,21019,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Southern Technical College""",Florida,At least 2 but less than 4 years,Private for-profit,90,20833,23567,24470,25068,25369,,,,0,0,0,,,,,,,,,,,,,,,,
"""Stanbridge University""",California,Four or more years,Private for-profit,85,20369,22319,23754,25094,25094,,,10,0,0,0,,,,,,,,,,,,,,,,
"""Universal Career School""",Florida,At least 2 but less than 4 years,Private for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Universal College of Healing Arts""",Nebraska,At least 2 but less than 4 years,Private for-profit,100,20070,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Uta Mesivta of Kiryas Joel""",New York,Four or more years,Private not-for-profit,95,6183,6890,9646,12726,0,23700,23700,,0,0,0,,,,,,,,,,,,,,,,
"""Harrisburg University of Science and Technology""",Pennsylvania,Four or more years,Private not-for-profit,100,10197,11497,12262,17033,18695,35550,35550,84,0,0,0,,,,,,,,,,,,,,,,
"""Blue Ridge Community and Technical College""",West Virginia,At least 2 but less than 4 years,Public,98,4063,790,5833,8259,8187,,,,0,0,0,,,,,,,,,,,,,,,,
"""Colorado State University-System Office""",Colorado,Four or more years,Public,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Daytona College""",Florida,Four or more years,Private for-profit,97,18070,18751,20172,21521,21521,,,,0,0,0,,,,,,,,,,,,,,,,
"""Delta Technical College-Mississippi""",Mississippi,Less than 2 years (below associate),Private for-profit,96,15179,15690,17153,19241,19616,,,,0,0,0,,,,,,,,,,,,,,,,
"""United States University""",California,Four or more years,Private for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Empire Beauty School-Avondale""",Arizona,Less than 2 years (below associate),Private for-profit,100,13575,12722,15962,17879,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Empire Beauty School-Littleton""",Colorado,Less than 2 years (below associate),Private for-profit,88,15156,18607,16127,20872,20539,,,,0,0,0,,,,,,,,,,,,,,,,
"""Empire Beauty School-Aurora""",Colorado,Less than 2 years (below associate),Private for-profit,86,17261,17354,20077,22122,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Joyce University of Nursing and Health Sciences""",Utah,Four or more years,Private for-profit,100,29427,30170,30196,32110,32259,,,97,0,0,0,,,,,,,,,,,,,,,,
"""San Joaquin Valley College-Modesto""",California,At least 2 but less than 4 years,Private for-profit,93,19004,20723,22188,23943,24713,,,,0,0,0,,,,,,,,,,,,,,,,
"""Eagle Gate College-Layton""",Utah,Four or more years,Private for-profit,100,32139,29353,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Academy of Hair Design-Jasper""",Texas,Less than 2 years (below associate),Private for-profit,100,10553,14213,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""SAE Expression College""",California,Four or more years,Private for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Unitech Training Academy-West Monroe""",Louisiana,Less than 2 years (below associate),Private for-profit,77,24338,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""New River Community and Technical College""",West Virginia,At least 2 but less than 4 years,Public,99,263,851,2583,8037,7805,,,,0,0,0,,,,,,,,,,,,,,,,
"""The College of Health Care Professions-Southwest Houston""",Texas,At least 2 but less than 4 years,Private for-profit,77,29879,30762,31205,33370,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""UEI College-Chula Vista""",California,Less than 2 years (below associate),Private for-profit,99,27431,26975,29345,30332,31874,,,,0,0,0,,,,,,,,,,,,,,,,
"""UEI College-West Covina""",California,Less than 2 years (below associate),Private for-profit,99,28233,28268,30334,31661,32590,,,,0,0,0,,,,,,,,,,,,,,,,
"""Georgia Gwinnett College""",Georgia,Four or more years,Public,90,10253,10711,13105,15182,16102,25488,34274,94,0,0,0,,,,,,,,,,,,,,,,
"""Phoenix Institute of Herbal Medicine & Acupuncture""",Arizona,Four or more years,Private for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Tucson College of Beauty""",Arizona,Less than 2 years (below associate),Private for-profit,85,17229,18417,18825,20665,20665,,,,0,0,0,,,,,,,,,,,,,,,,
"""California Career College""",California,At least 2 but less than 4 years,Private for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Palladium Technical Academy Inc""",California,Less than 2 years (below associate),Private for-profit,100,18655,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Los Angeles College of Aesthetics""",California,Less than 2 years (below associate),Private for-profit,28,18314,19915,20498,19650,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""National Polytechnic College""",California,At least 2 but less than 4 years,Private for-profit,95,23793,0,26892,30888,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""American Career College-Ontario""",California,At least 2 but less than 4 years,Private for-profit,97,26703,27476,28815,30676,31846,,,,0,0,0,,,,,,,,,,,,,,,,
"""Asher College""",California,At least 2 but less than 4 years,Private for-profit,78,4801,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""American Institute of Massage Therapy""",California,Less than 2 years (below associate),Private for-profit,12,0,14865,17511,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""University of East-West Medicine""",California,Four or more years,Private for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Blake Austin College""",California,Less than 2 years (below associate),Private for-profit,77,25657,25034,25711,32606,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Aviator College of Aeronautical Science and Technology""",Florida,Four or more years,Private for-profit,43,32474,36029,36918,40918,40918,40913,40913,,0,0,0,,,,,,,,,,,,,,,,
"""Trendsetters School of Beauty & Barbering""",Florida,Less than 2 years (below associate),Private for-profit,0,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""CDA Technical Institute""",Florida,Less than 2 years (below associate),Private for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""American Institute of Beauty""",Florida,Less than 2 years (below associate),Private for-profit,77,9510,9720,12306,13861,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""North Florida Cosmetology Institute""",Florida,Less than 2 years (below associate),Private for-profit,76,19905,19886,23036,26381,26381,,,,0,0,0,,,,,,,,,,,,,,,,
"""Florida Academy of Health & Beauty""",Florida,Less than 2 years (below associate),Private for-profit,100,6705,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Augusta School of Massage""",Georgia,Less than 2 years (below associate),Private for-profit,66,9802,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""ATA College""",Kentucky,At least 2 but less than 4 years,Private for-profit,92,25896,25947,25312,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""SUM Bible College and Theological Seminary""",California,Four or more years,Private not-for-profit,67,20620,21013,0,0,0,23756,23756,83,0,0,0,,,,,,,,,,,,,,,,
"""Compass Career College""",Louisiana,Less than 2 years (below associate),Private for-profit,88,13296,12988,11148,19208,16035,,,,0,0,0,,,,,,,,,,,,,,,,
"""Hair Expressions Academy""",Maryland,Less than 2 years (below associate),Private for-profit,82,14565,13794,13401,6131,9899,,,,0,0,0,,,,,,,,,,,,,,,,
"""Nuvo College of Cosmetology""",Michigan,Less than 2 years (below associate),Private for-profit,100,17433,16482,18130,19165,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""WellSpring School of Allied Health-Kansas City""",Missouri,At least 2 but less than 4 years,Private for-profit,100,21680,22138,23305,24754,25671,,,,0,0,0,,,,,,,,,,,,,,,,
"""The Salon Professional Academy-Fargo""",North Dakota,At least 2 but less than 4 years,Private for-profit,48,15736,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Institute of Professional Careers""",Nevada,Less than 2 years (below associate),Private for-profit,,0,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
"""Aveda Arts & Sciences Institute-New York""",New York,Less than 2 years (below associate),Private for-profit,22,35330,0,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,
