Institution,State,IC2022.Typical room charge for academic year,IC2022.Typical board charge for academic year,IC2022.Combined charge for room and board,DRVEF2022.Percent of first-time undergraduates - in-state,DRVEF2022.Percent of first-time undergraduates - out-of-state,DRVEF2022.Percent of first-time undergraduates - foreign countries,"SFA2122.Percent of undergraduate students awarded federal, state, local, institutional or other sources of grant aid","SFA2122.Average net price-students awarded grant or scholarship aid, 2021-22","SFA2122.Average net price (income 0-30,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income 30,001-48,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income 48,001-75,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income 75,001-110,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income over 110,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price-students awarded grant or scholarship aid, 2021-22","SFA2122.Average net price (income 0-30,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income 30,001-48,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income 48,001-75,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income 75,001-110,000)-students awarded Title IV federal financial aid, 2021-22","SFA2122.Average net price (income over 110,000)-students awarded Title IV federal financial aid, 2021-22",DRVADM2022.Percent admitted - total,DRVADM2022.Admissions yield - total,"DRVIC2022.Tuition and fees, 2022-23",DRVIC2022.Total price for in-state students living on campus 2022-23,DRVIC2022.Total price for out-of-state students living on campus 2022-23,HD2022.Sector of institution,HD2022.Level of institution,HD2022.Control of institution,DRVEF2022.Percent of total enrollment that are American Indian or Alaska Native,DRVEF2022.Percent of total enrollment that are Asian,DRVEF2022.Percent of total enrollment that are Black or African American,DRVEF2022.Percent of total enrollment that are Hispanic/Latino,DRVEF2022.Percent of total enrollment that are Native Hawaiian or Other Pacific Islander,DRVEF2022.Percent of total enrollment that are White,DRVEF2022.Percent of total enrollment that are U.S. Nonresident,DRVEF2022.Percent of total enrollment that are Asian/Native Hawaiian/Pacific Islander,"DRVGR2022.Graduation rate, total cohort","DRVGR2022.Graduation rate, American Indian or Alaska Native","DRVGR2022.Graduation rate, Asian/Native Hawaiian/Other Pacific Islander","DRVGR2022.Graduation rate, Asian","DRVGR2022.Graduation rate, Native Hawaiian or Other Pacific Islander","DRVGR2022.Graduation rate, Black, non-Hispanic","DRVGR2022.Graduation rate, Hispanic","DRVGR2022.Graduation rate, White, non-Hispanic","DRVGR2022.Graduation rate, U.S. Nonresident",SFA2122.Percent of full-time first-time undergraduates awarded any financial aid,"SFA2122.Average amount of federal, state, local or institutional grant aid awarded",ADM2022.SAT Evidence-Based Reading and Writing 25th percentile score,ADM2022.SAT Evidence-Based Reading and Writing 50th percentile score,ADM2022.SAT Evidence-Based Reading and Writing 75th percentile score,ADM2022.SAT Math 25th percentile score,ADM2022.SAT Math 50th percentile score,ADM2022.SAT Math 75th percentile score,ADM2022.ACT Composite 25th percentile score,ADM2022.ACT Composite 50th percentile score,ADM2022.ACT Composite 75th percentile score,ADM2022.ACT English 25th percentile score,ADM2022.ACT English 50th percentile score,ADM2022.ACT English 75th percentile score,ADM2022.ACT Math 25th percentile score,ADM2022.ACT Math 50th percentile score,ADM2022.ACT Math 75th percentile score
South Orange County Community College District,California,,,,,,,,,,,,,,,,,,,,,,,,,Administrative Unit,At least 2 but less than 4 years,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CET-El Paso,Texas,,,,100,0,0,64,,,,,,,16526,16999,16978,16978,,,,,,,,"Private not-for-profit, less-than 2-year",Less than 2 years (below associate),Private not-for-profit,0,1,6,89,0,3,0,1,53,,,,,,,,,86,5399,,,,,,,,,,,,,,,
Appalachian School of Law,Virginia,,,,,,,,,,,,,,,,,,,,,,,,,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,1,1,7,6,0,77,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Platt College-Ontario,California,,,,100,0,0,81,,,,,,,24873,26046,27251,28707,31124,,,,14519,,,"Private for-profit, 4-year or above",Four or more years,Private for-profit,0,5,8,72,0,10,0,5,62,,89,100,75,43,63,75,,100,7731,,,,,,,,,,,,,,,
Delaware College of Art and Design,Delaware,9000,4700,,71,29,0,93,,,,,,,34641,29752,31764,32953,46109,38444,57,29,29500,51950,51950,"Private not-for-profit, 2-year",At least 2 but less than 4 years,Private not-for-profit,0,1,31,16,0,39,0,1,42,50,,,,46,75,56,,100,12478,,,,,,,,,,,,,,,
American University of Health Sciences,California,,,,,,,45,,,,,,,25913,25963,,,,,,,24575,,,"Private for-profit, 4-year or above",Four or more years,Private for-profit,4,46,11,23,5,6,0,51,67,,80,80,,,,,,100,14222,,,,,,,,,,,,,,,
Career Networks Institute,California,,,,100,0,0,47,,,,,,,22970,22817,22301,,28571,28571,,,,,,"Private for-profit, 4-year or above",Four or more years,Private for-profit,3,28,8,41,1,15,1,29,77,,80,80,,,69,100,100,55,5979,,,,,,,,,,,,,,,
Monty Tech,Massachusetts,,,,100,0,0,63,14887,15169,14426,15051,,,,,,,,,79,24,,,,"Public, less-than 2-year",Less than 2 years (below associate),Public,0,0,34,20,0,41,0,0,75,,,,,,,,,91,6647,,,,,,,,,,,,,,,
Okaloosa Technical College,Florida,,,,96,4,0,44,11030,12705,12738,13131,,,,,,,,,,,,,,"Public, less-than 2-year",Less than 2 years (below associate),Public,0,3,11,13,0,63,1,3,94,,,,,,,,,91,1635,,,,,,,,,,,,,,,
Lincoln Technical Institute-Lincoln,Rhode Island,,,,63,37,0,72,,,,,,,38279,37638,38583,38829,41465,41303,,,,,,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,0,1,32,26,0,26,0,1,61,,,,,,,,,92,4312,,,,,,,,,,,,,,,
Wayne County Schools Career Center,Ohio,,,,100,0,0,92,18131,18059,20067,17777,21211,25025,,,,,,,,,,,,"Public, less-than 2-year",Less than 2 years (below associate),Public,2,1,2,2,0,93,0,1,69,,,,,,,,,85,4644,,,,,,,,,,,,,,,
Carolinas College of Health Sciences,North Carolina,,,,100,0,0,38,23055,,,32073,,34102,,,,,,,71,58,16179,,,"Public, 4-year or above",Four or more years,Public,0,1,10,3,1,48,0,2,33,,,,,,0,50,,100,2029,,,,,,,,,,,,,,,
Western Governors University,Utah,,,,9,91,0,38,,,,,,,9207,8708,9661,10939,13060,13827,,,8010,,,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,1,4,11,12,0,60,0,4,49,40,33,50,0,25,46,52,0,61,4798,,,,,,,,,,,,,,,
California Aeronautical University,California,,,7950,76,24,0,51,,,,,,,39416,39124,38869,42969,45606,45747,,,33037,44256,44256,"Private for-profit, 4-year or above",Four or more years,Private for-profit,0,11,8,32,2,44,0,12,32,,0,0,,0,40,38,,94,8224,,,,,,,,,,,,,,,
Herzing University-New Orleans,Louisiana,,,,95,5,0,92,,,,,,,22996,21695,24726,22035,25012,,95,68,12750,,,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,1,1,64,6,1,19,0,1,23,,,,,18,50,33,,100,4738,,,,,,,,,,,,,,,
Florida Gulf Coast University,Florida,4820,4554,,75,22,3,73,10834,8132,6842,9549,12558,13888,,,,,,,74,24,6118,20490,39534,"Public, 4-year or above",Four or more years,Public,0,2,6,24,0,60,2,2,59,86,57,58,50,58,56,60,63,82,7268,530,570,610,510,540,590,20,22,25,20,22,25,18,22,25
Little Priest Tribal College,Nebraska,4000,3000,,79,21,0,55,9194,9228,7417,,,,,,,,,,,,5140,16864,16864,"Public, 2-year",At least 2 but less than 4 years,Public,72,0,0,0,0,18,0,0,13,13,,,,25,,0,,77,4884,,,,,,,,,,,,,,,
South Louisiana Community College,Louisiana,,,,98,2,0,99,10135,8281,9232,10622,13386,13189,,,,,,,,,4205,,,"Public, 2-year",At least 2 but less than 4 years,Public,1,1,39,4,1,47,1,2,31,25,24,33,20,25,27,32,23,100,6726,,,,,,,,,,,,,,,
Pima Medical Institute-Chula Vista,California,,,,99,1,0,57,,,,,,,26542,26748,25545,24012,,,,,,,,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,0,8,5,64,0,16,0,9,57,100,50,50,50,60,58,62,,87,4185,,,,,,,,,,,,,,,
Lincoln College of Technology-Marietta,Georgia,,,,98,2,0,81,,,,,,,29191,28616,29254,28932,32138,31469,,,,,,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,0,2,49,18,0,12,0,2,51,0,100,100,,52,72,57,,90,4388,,,,,,,,,,,,,,,
Academy of Hair Design-Lufkin,Texas,,,,99,0,0,57,,,,,,,11267,11287,12323,,,,,,,,,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,0,4,32,4,4,57,0,7,84,,,,,,,,,92,5921,,,,,,,,,,,,,,,
Pathway Vocational Academy,Texas,,,,92,0,0,62,,,,,,,17481,18683,21906,,,,,,,,,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,0,4,47,14,0,33,0,4,17,,,,,,,,,69,3464,,,,,,,,,,,,,,,
Cortiva Institute,Maryland,,,,100,0,0,52,,,,,,,28800,28595,28692,30062,31489,32231,,,,,,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,0,1,75,6,1,13,0,2,66,,,,,,,,,90,3787,,,,,,,,,,,,,,,
Toni & Guy Hairdressing Academy-Worcester,Massachusetts,,,,97,3,0,47,,,,,,,24950,25670,23086,30081,,,,,,,,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,0,1,9,12,0,72,0,1,83,,,,,,,,,80,6104,,,,,,,,,,,,,,,
Northwest HVAC/R Training Center,Washington,,,,94,6,0,66,,,,,,,17837,17848,16177,17430,,,100,82,,,,"Private not-for-profit, less-than 2-year",Less than 2 years (below associate),Private not-for-profit,11,0,6,6,0,77,0,0,67,,,,,,,,,77,5210,,,,,,,,,,,,,,,
Myotherapy Institute,Nebraska,,,,100,0,0,50,,,,,,,26972,26972,,,32032,32032,,,16390,,,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,0,0,8,0,0,92,0,0,80,,,,,0,100,100,,83,5060,,,,,,,,,,,,,,,
Florida College of Integrative Medicine,Florida,,,,,,,,,,,,,,,,,,,,,,,,,"Private for-profit, 4-year or above",Four or more years,Private for-profit,0,29,9,12,0,42,5,29,,,,,,,,,,,,,,,,,,,,,,,,,,
New Professions Technical Institute,Florida,,,,100,0,0,100,,,,,,,34230,34230,,,,,,,,,,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,0,0,7,93,0,0,0,0,100,,,,,,100,,,100,5061,,,,,,,,,,,,,,,
Strand College of Hair Design,South Carolina,,,,97,3,0,60,,,,,,,9789,9496,10716,11864,14355,14355,,,,,,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,0,1,20,3,0,73,0,1,70,,,,,,,,,71,4877,,,,,,,,,,,,,,,
City College-Miami,Florida,,,,100,0,0,64,,,,,,,,,,,,,44,63,16680,,,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,0,0,27,55,0,18,0,0,33,,,,,0,50,,,0,,,,,,,,,,,,,,,,
Ilisagvik College,Alaska,4000,9000,,100,0,0,100,11228,13711,,,,,,,,,,,,,5260,21790,21790,"Public, 4-year or above",Four or more years,Public,66,7,2,4,8,11,0,15,75,86,,,,,,0,,100,6022,,,,,,,,,,,,,,,
Community College of Baltimore County,Maryland,,,,88,3,9,52,6850,5521,6458,7733,9407,11604,,,,,,,,,4380,,,"Public, 2-year",At least 2 but less than 4 years,Public,0,6,38,7,0,35,7,7,16,0,18,18,20,9,16,26,19,77,5987,,,,,,,,,,,,,,,
White Earth Tribal and Community College,Minnesota,,500,,100,0,0,98,,,,,,,8489,9612,15176,3294,,,,,5250,22500,22500,"Private not-for-profit, 2-year",At least 2 but less than 4 years,Private not-for-profit,75,0,0,2,0,9,0,0,19,18,,,,,,25,,100,10937,,,,,,,,,,,,,,,
Blue Cliff College-Metairie,Louisiana,,,,100,0,0,75,,,,,,,24565,24646,,,,,,,,,,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,0,1,85,7,0,7,0,1,44,,0,0,,44,33,44,,91,4207,,,,,,,,,,,,,,,
Creative Images Institute of Cosmetology-North Dayton,Ohio,,,,100,0,0,52,,,,,,,13215,12452,13281,15398,16410,16701,,,,,,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,0,2,48,2,0,48,0,2,72,,,,,73,,71,,71,3719,,,,,,,,,,,,,,,
Yeshiva College of the Nations Capital,Maryland,6000,6000,,20,70,10,76,,,,,,,12265,8126,,,,,,,10600,24800,24800,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,0,0,0,0,100,0,0,0,,,,,,,0,,73,11535,,,,,,,,,,,,,,,
Louisiana State University Health Sciences Center-Shreveport,Louisiana,,,,,,,56,,,,,,,,,,,,,,,,,,"Public, 4-year or above",Four or more years,Public,0,7,9,4,0,72,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Career Institute LLC,New Jersey,,,,,,,,,,,,,,,,,,,,,,,,,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hair Academy II,Maryland,,,,73,24,0,40,,,,,,,22401,21445,21791,22904,,,,,,,,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,0,0,100,0,0,0,0,0,51,,,,,,,,,100,2043,,,,,,,,,,,,,,,
Southwest Acupuncture College-Boulder,Colorado,,,,,,,,,,,,,,,,,,,,,,,,,"Private for-profit, 4-year or above",Four or more years,Private for-profit,4,8,0,0,0,84,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,
River Parishes Community College,Louisiana,,,,99,0,0,59,8359,6282,6875,8775,11386,12578,,,,,,,,,4079,,,"Public, 2-year",At least 2 but less than 4 years,Public,1,1,37,5,1,45,0,2,32,0,17,0,18,21,52,37,50,94,4424,,,,,,,,,,,,,,,
Los Angeles Film School,California,,,,28,71,1,63,,,,,,,33452,33426,33819,34968,39050,39200,,,,,,"Private for-profit, 4-year or above",Four or more years,Private for-profit,1,2,18,9,0,14,0,2,46,33,68,68,,41,55,53,100,84,6012,,,,,,,,,,,,,,,
FINE Mortuary College,Massachusetts,,,,58,37,0,50,,,,,,,,,,,,,,,20795,,,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,2,0,3,8,0,80,0,0,100,,,,,,,100,,,,,,,,,,,,,,,,,,
International Baptist College and Seminary,Arizona,,,7400,30,70,0,83,,,,,,,18169,16192,,,,15802,,,13200,28437,28437,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,0,0,4,11,1,63,5,1,55,100,,,,,0,56,,80,9568,,,,,,,,,,,,,,,
Gwinnett College,North Carolina,,,,100,0,0,69,,,,,,,24616,23578,25209,25493,26427,26600,,,,,,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,0,0,69,8,0,20,0,0,71,,,,,,,,,89,3030,,,,,,,,,,,,,,,
Fortis College-Foley,Alabama,,,,,,,85,,,,,,,22566,22260,23178,24698,,,,,,,,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,0,0,10,0,0,80,0,0,53,,,,,,,,,97,4424,,,,,,,,,,,,,,,
Medical Training College,Louisiana,,,,100,0,0,71,,,,,,,14521,14160,14433,17589,19184,19184,,,,,,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,0,0,68,3,0,28,0,0,54,,,,,,,,,84,4318,,,,,,,,,,,,,,,
Toni & Guy Hairdressing Academy-Plano,Texas,,,,91,9,0,73,,,,,,,22803,19880,20826,25553,23890,25031,,,,,,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,1,4,1,18,0,67,1,4,76,,,,,,,,,81,3831,,,,,,,,,,,,,,,
University of Connecticut-Waterbury Campus,Connecticut,,,,100,0,0,83,9990,5237,6337,8857,15761,17491,,,,,,,98,15,16640,,,"Public, 4-year or above",Four or more years,Public,0,11,9,27,0,45,2,11,60,,77,77,,52,43,65,50,92,11254,500,565,630,490,545,600,,,,,,,,,
University of Connecticut-Avery Point,Connecticut,,,,98,2,1,73,12284,7609,7755,10908,17933,19912,,,,,,,97,17,16640,,,"Public, 4-year or above",Four or more years,Public,0,9,3,18,0,61,1,9,59,,75,75,,42,27,64,,86,9860,540,595,650,520,585,650,,,,,,,,,
University of Connecticut-Stamford,Connecticut,10844,,,90,9,1,77,13933,10078,9799,13352,19855,24090,,,,,,,92,16,16650,37862,60530,"Public, 4-year or above",Four or more years,Public,0,10,15,34,0,31,5,10,64,,78,78,,51,57,65,65,85,12528,510,565,620,480,550,620,18,23,27,17,21,24,16,21,26
University of Management and Technology,Virginia,,,,0,100,0,21,,,,,,,12575,,,,,,,,9450,,,"Private for-profit, 4-year or above",Four or more years,Private for-profit,0,3,3,1,0,2,0,3,100,,,,,100,,100,,100,4050,,,,,,,,,,,,,,,
Baton Rouge Community College,Louisiana,,,,96,3,1,59,9591,8742,8461,10644,13471,13905,,,,,,,,,4221,,,"Public, 2-year",At least 2 but less than 4 years,Public,0,2,54,5,0,34,1,2,16,0,16,25,12,11,13,21,38,84,5669,,,,,,,,,,,,,,,
IYRS School of Technology & Trades,Rhode Island,,,,43,52,0,63,,,,,,,22668,18555,,,,,92,95,,,,"Private not-for-profit, 2-year",At least 2 but less than 4 years,Private not-for-profit,0,2,0,4,0,89,0,2,85,,,,,100,100,87,100,59,11847,,,,,,,,,,,,,,,
Linfield University-School of Nursing,Oregon,,,,,,,,,,,,,,,,,,,,,,,,,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linfield University-Online and Continuing Education,Oregon,,,,,,,,,,,,,,,,,,,,,,,,,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midwest Technical Institute-Illinois,Illinois,,,,94,6,0,76,,,,,,,23084,22490,23193,27320,29592,29992,,,,,,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,0,1,27,8,0,59,0,1,67,,,,,,,,,92,7303,,,,,,,,,,,,,,,
Advanced Barber College and Hair Design,Texas,,,,98,0,0,71,,,,,,,21605,21605,,,,,,,,,,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,0,1,1,68,0,24,0,1,37,,,,,,,,,90,5019,,,,,,,,,,,,,,,
The College of Health Care Professions-Austin,Texas,,,,99,1,0,71,,,,,,,29036,29075,28284,30192,32863,26736,,,,,,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,1,1,15,58,0,18,0,1,55,36,75,71,100,40,58,59,,81,4805,,,,,,,,,,,,,,,
New Community Career & Technical Institute,New Jersey,,,,90,0,0,96,,,,,,,6958,6958,,,,,,,,,,"Private not-for-profit, less-than 2-year",Less than 2 years (below associate),Private not-for-profit,0,0,68,23,0,5,0,0,71,,,,,,,,,100,4402,,,,,,,,,,,,,,,
Chicago School of Professional Psychology-College of Nursing,Texas,,,,100,0,0,61,,,,,,,29498,29341,29289,30373,30224,,27,52,,,,"Private not-for-profit, 2-year",At least 2 but less than 4 years,Private not-for-profit,0,2,68,8,0,11,2,2,35,,67,67,,31,17,47,,80,2646,,,,,,,,,,,,,,,
Professional Golfers Career College,California,,,,43,51,5,21,,,,,,,28639,29545,31522,,32384,32708,,,17910,,,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,0,0,2,3,2,67,4,2,46,,0,,0,40,0,49,,41,4069,,,,,,,,,,,,,,,
Chester Career College,Virginia,,,,100,0,0,56,,,,,,,28132,26650,,28147,32592,,,,,,,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,0,1,79,6,0,15,0,1,56,,,,,59,50,50,,63,4500,,,,,,,,,,,,,,,
Milan Institute-San Antonio Ingram,Texas,,,,100,0,0,84,,,,,,,25280,24391,24611,26021,28884,29145,,,,,,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,0,0,8,73,0,10,0,0,42,,,,,,,,,90,4267,,,,,,,,,,,,,,,
Rudae's School of Beauty Culture-Ft Wayne,Indiana,,,,96,4,0,64,,,,,,,21716,21256,21537,27857,26212,,,,,,,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,0,2,20,8,0,65,0,2,76,,,,,,,,,93,5720,,,,,,,,,,,,,,,
Carrington College-San Jose,California,,,,100,0,0,54,,,,,,,30015,29941,29594,32355,34087,34735,,,,,,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,0,10,3,68,0,9,3,11,54,,70,76,33,38,51,64,80,82,3735,,,,,,,,,,,,,,,
Brookline College-Tucson,Arizona,,,,96,4,0,75,,,,,,,20997,22656,,,,,,,,,,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,3,1,16,52,1,20,0,2,55,75,50,100,0,58,56,55,,88,4557,,,,,,,,,,,,,,,
Miller-Motte College-McCann-Lewisburg,Pennsylvania,,,,100,0,0,87,,,,,,,23115,22808,24569,24844,,,,,,,,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,0,0,11,9,0,74,0,0,52,,,,,67,67,50,,94,5580,,,,,,,,,,,,,,,
Carrington College-Pleasant Hill Campus,California,,,,100,0,0,60,,,,,,,30285,29091,29288,31457,32836,33284,,,,,,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,0,15,13,45,1,13,1,16,50,,80,80,,22,68,50,,89,3745,,,,,,,,,,,,,,,
Cortiva Institute,Florida,,,,100,0,0,49,,,,,,,28033,28223,27340,26250,31403,,,,,,,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,0,3,33,39,0,20,0,3,82,,,,,,,,,67,3793,,,,,,,,,,,,,,,
Stratford University,Virginia,,,,,,,,,,,,,,,,,,,,,,,,,"Private for-profit, 4-year or above",Four or more years,Private for-profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universal Technical Institute of California Inc,California,,,,97,3,0,83,,,,,,,23166,23360,24015,26022,28784,28434,,,,,,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,0,3,3,66,0,13,0,3,43,50,65,62,75,33,48,43,,96,6618,,,,,,,,,,,,,,,
American InterContinental University-Atlanta,Georgia,,,,98,2,0,90,,,,,,,15509,15309,16322,18636,,22061,,,13267,,,"Private for-profit, 4-year or above",Four or more years,Private for-profit,0,0,49,0,0,8,0,0,20,,0,0,,19,,44,,89,6545,,,,,,,,,,,,,,,
Rancho Santiago Community College District Office,California,,,,,,,,,,,,,,,,,,,,,,,,,Administrative Unit,Four or more years,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Academy of Hair Design Six,Mississippi,,,,50,0,0,85,,,,,,,16200,16440,,,,,,,,,,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,0,0,85,2,0,12,0,0,75,,,,,,,,,83,6735,,,,,,,,,,,,,,,
Eastern West Virginia Community and Technical College,West Virginia,,,,98,2,0,53,6734,6137,6627,7916,,,,,,,,,,,3960,,,"Public, 2-year",At least 2 but less than 4 years,Public,1,0,2,1,0,94,0,0,37,,,,,0,0,42,,100,8332,,,,,,,,,,,,,,,
Aviation Institute of Maintenance-Indianapolis,Indiana,,,,100,0,0,53,,,,,,,22191,20016,24104,22171,26911,,,,16757,,,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,0,4,21,10,1,56,0,5,33,,,,,33,50,43,,80,5496,,,,,,,,,,,,,,,
Midwest College of Oriental Medicine-Skokie,Illinois,,,,,,,29,,,,,,,,,,,,,,,,,,"Private for-profit, 4-year or above",Four or more years,Private for-profit,0,11,22,9,0,59,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,
Carrington College-Spokane,Washington,,,,92,8,0,58,,,,,,,33036,33225,32975,34704,36217,36649,,,,,,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,3,2,4,19,2,55,0,4,61,,40,100,25,50,60,62,,85,3548,,,,,,,,,,,,,,,
Texas Tech University System Administration,Texas,,,,,,,,,,,,,,,,,,,,,,,,,Administrative Unit,Four or more years,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cascadia College,Washington,,,,98,2,0,20,10483,6558,9353,11048,11341,15893,,,,,,,,,4678,,,"Public, 4-year or above",Four or more years,Public,0,19,4,14,0,46,5,19,36,0,30,35,0,20,34,37,,35,8783,,,,,,,,,,,,,,,
CBD College,California,,,,98,2,0,38,,,,,,,21583,19932,21805,,,,,,,,,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,1,20,9,37,1,18,0,22,76,,81,80,100,52,78,73,,91,5435,,,,,,,,,,,,,,,
East West College of Natural Medicine,Florida,,,,,,,,,,,,,,,,,,,,,,,,,"Private for-profit, 4-year or above",Four or more years,Private for-profit,2,15,7,24,0,45,0,15,100,,,,,100,100,100,,,,,,,,,,,,,,,,,,
Atlantic Institute of Oriental Medicine,Florida,,,,,,,0,,,,,,,,,,,,,,,,,,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,1,7,11,26,5,37,10,12,,,,,,,,,,,,,,,,,,,,,,,,,,
MDT College of Health Sciences,Illinois,,,,96,4,0,92,,,,,,,23390,24203,,,,,84,77,20230,,,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,0,1,94,3,0,1,0,1,33,,,,,,,,,100,6724,,,,,,,,,,,,,,,
Bennett Career Institute,District of Columbia,,,,51,43,0,52,,,,,,,11064,10938,11175,11344,,,,,,,,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,0,0,98,1,0,1,0,0,47,,,,,,,,,100,3980,,,,,,,,,,,,,,,
Blue Cliff College-Lafayette,Louisiana,,,,100,0,0,72,,,,,,,21080,21026,,,,,,,,,,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,2,1,79,0,0,18,0,1,44,100,,,,45,67,39,,93,4647,,,,,,,,,,,,,,,
Quest College,Texas,,,,,,,,,,,,,,,,,,,,,,,,,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Care College,Oklahoma,,,,99,1,0,72,,,,,,,23914,23971,24787,24299,28212,28783,,,,,,"Private not-for-profit, 2-year",At least 2 but less than 4 years,Private not-for-profit,18,2,18,8,0,47,2,2,54,52,43,43,,42,45,59,,83,4963,,,,,,,,,,,,,,,
Erie 1 BOCES,New York,,,,100,0,0,95,9768,8760,8767,,,,,,,,,,,,,,,"Public, less-than 2-year",Less than 2 years (below associate),Public,0,1,45,8,1,45,0,3,83,,,,,,,,,96,4068,,,,,,,,,,,,,,,
HDS Truck Driving Institute,Arizona,,,,100,0,0,44,,,,,,,22610,,,,,,,,,,,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,1,1,13,50,1,22,0,2,83,,,,,,,,,59,3444,,,,,,,,,,,,,,,
International Training Careers,Florida,,,,86,0,0,71,,,,,,,21186,21053,23220,25862,,,,,,,,"Private not-for-profit, less-than 2-year",Less than 2 years (below associate),Private not-for-profit,0,0,0,100,0,0,0,0,99,,,,,,,,,99,6026,,,,,,,,,,,,,,,
The King's University,Texas,,,,56,44,0,90,,,,,,,22507,20002,22575,18905,25835,23958,94,60,12720,,,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,1,4,12,11,0,57,3,4,52,,,,,,60,50,,90,4828,,,,,,,,,,,,,,,
